Cell Type	X	Y	Layer
1	386.26	2665.49	3
1	386.31	2599.17	3
3	386.48	3756.19	1
3	387.72	3356.27	3
1	387.89	2132.93	3
1	389.44	3581.81	2
1	389.5	814.3	5
1	389.5	2072.89	3
1	389.52	2029.82	3
1	390.18	668.24	6
3	390.41	1718.98	4
1	391.33	3525.53	2
1	391.63	2850.6	3
1	392.17	772.29	5
1	392.4	3571.6	2
1	393.14	3684.89	1
1	393.77	1585.95	4
3	394.57	2665.94	3
3	394.59	1912.39	3
1	395.88	3646.2	2
1	396.58	2743.4	3
1	397.81	3239.48	3
3	398.08	1969.56	3
3	398.17	1368.4	5
1	398.23	3309.48	3
1	398.34	3613.98	2
1	398.43	1981.45	3
1	398.79	999.85	5
1	399.84	2025.68	3
1	399.86	1923.78	3
1	400.28	3447.67	2
3	400.57	1094.58	5
1	400.62	495.55	6
1	400.79	1013.61	5
3	401.07	3138.74	3
3	401.36	1453.45	5
1	401.6	3600.74	2
3	402.63	430.95	6
1	402.63	3659.52	1
3	403.08	3653.6	1
3	403.33	3509.18	2
1	403.65	2851.34	3
1	404.36	2700.33	3
1	404.73	1785.56	4
1	405	2063.72	3
3	405.35	3289.51	3
3	405.69	1648.47	4
1	405.69	1776.32	4
1	406.26	3196.66	3
1	406.38	1555.69	4
1	408.06	3570.05	2
3	408.34	1589.91	4
1	408.87	3638.07	2
3	409.48	2136.4	3
3	409.77	2911.9	3
1	410.34	766.59	5
3	410.54	692.53	5
3	410.86	282.45	6
3	411.23	2487.41	3
3	411.38	1828.61	4
3	412.08	3705.75	1
1	412.59	3016.95	3
3	413.61	200.28	6
1	414.22	2923.21	3
1	414.23	3458.24	2
1	414.89	2895.92	3
1	415.06	738.39	5
1	415.33	1779.72	4
1	415.46	1399.24	5
1	416.14	555.36	6
1	416.38	2146.83	3
3	417.69	781.9	5
1	418.35	1540.95	4
3	418.58	3209.9	3
1	418.65	282.38	6
1	418.95	1832.31	4
3	419.45	2812.22	3
1	420.36	2432.16	3
3	420.74	552.99	6
1	421.47	419.71	6
1	421.57	3420.52	2
1	422.07	1890	3
3	422.68	2970.13	3
1	423.12	3026.1	3
