;	Marker Co	ordinate F	ile	
1	65.44	1146.85	18.65	0.07
1	26.42	1170.96	14.55	0.07
1	130.47	1138.3	14.85	0.07
1	170.46	1144.14	15.1	0.07
1	158.37	1163	17.9	0.07
1	136.93	1170.1	18.8	0.07
1	233.32	1162.48	21.05	0.07
1	255.28	1120.99	19.6	0.07
1	245.93	1109.82	17.6	0.07
1	314.55	1095.18	16.95	0.07
1	247.12	1139.93	16	0.07
1	273.62	1044.98	20.25	0.07
1	207.36	1053.88	16.9	0.07
1	151.05	1035.24	15.7	0.07
1	129.83	1038.79	12.45	0.07
1	61.14	1088.22	19.15	0.07
1	67.74	1045.99	17.5	0.07
1	9.36	1030.16	14.95	0.07
1	-27.51	1026.32	13.95	0.07
1	-34.04	1035.86	14.95	0.07
1	-31.07	1078.31	15.65	0.07
1	-184.02	1041.55	18.8	0.07
1	-161.46	1060.86	16.8	0.07
1	-238.32	1028.9	13.9	0.07
1	-273.7	1059.97	16.1	0.07
1	-232.61	1064.7	17.3	0.07
1	-228.75	1078.83	17.3	0.07
1	-283.87	1084.9	19.7	0.07
1	-348.23	1091.26	20.1	0.07
1	-295.11	1073.51	15.4	0.07
1	-365.14	1063.37	14.35	0.07
1	-361.21	1021.06	14.35	0.07
1	-323.8	967.47	12.6	0.07
1	-197.59	971.07	20.2	0.07
1	-177.11	967.15	15.8	0.07
1	-234.31	996.14	15.05	0.07
1	-169.32	980.8	13.5	0.07
1	-122.14	1011.79	13.8	0.07
1	-76.44	966.3	18.85	0.07
1	-148.55	945.96	20.85	0.07
1	-60.01	958.81	16.05	0.07
1	-45.47	986.99	13.25	0.07
1	88.61	998.63	16.1	0.07
1	69.24	999.37	16.35	0.07
1	30.82	961.42	17.15	0.07
1	71.47	951.81	17.75	0.07
1	44.17	961.79	20.55	0.07
1	144.57	1012.12	18.25	0.07
1	137.01	983.05	18.2	0.07
1	195.84	1010.86	17.8	0.07
1	132.19	985.49	16.15	0.07
1	289.1	937.71	13.95	0.07
1	255.5	935.19	15	0.07
1	294.07	926.46	15.8	0.07
1	246.6	941.92	20.55	0.07
1	237.03	878.98	20.9	0.07
1	159.14	915.84	20.1	0.07
1	136.07	931.67	13.1	0.07
1	58.74	927.18	18.65	0.07
1	84.04	918.89	13.4	0.07
1	-58.96	877.23	17.15	0.07
1	-65.94	924.79	14.3	0.07
1	-124.15	920.96	17.4	0.07
1	-181.2	933.17	15.05	0.07
1	-237.45	923.85	13.6	0.07
1	-207.55	885.83	14.9	0.07
1	-382.09	893.5	21	0.07
1	-382.46	927.37	21	0.07
1	-293.51	943.65	19.75	0.07
1	-389.21	931.37	14.9	0.07
